brand,model,price,type,height,weight,firmness,trial,I_trial,I_firmness,I_weight,I_height
Englander,ViscoPedic,900.0,Foam,10.5,,,,1,1,1,0
Englander,Nature's Finest,2100.0,Latex,10.0,38.0,,,1,1,0,0
Essentia,Beausommet,5522.0,Latex,8.0,,6.5,60.0,0,0,1,0
Essentia,Energie Opus,4350.0,Latex,8.0,,5.0,60.0,0,0,1,0
Essentia,Stratami,2871.0,Latex,8.0,,6.5,60.0,0,0,1,0
Essentia,Bionda,1945.0,Latex,8.0,,4.5,60.0,0,0,1,0
Essentia,Classic 8,3395.0,Latex,8.0,,6.0,60.0,0,0,1,0
Essentia,Dormeuse,5965.0,Latex,8.0,,4.0,60.0,0,0,1,0
Essentia,Dormeuse Fior,6526.0,Latex,8.0,,4.0,60.0,0,0,1,0
Essentia,Tatami,2449.0,Latex,8.0,99.0,7.0,120.0,0,0,0,0
Ethan Allen,Contempo,899.0,Innerspring,8.0,,,0.0,0,1,1,0
Ethan Allen,Splendor,2999.0,Innerspring,14.5,,,0.0,0,1,1,0
Ethan Allen,Luna,2999.0,Foam,13.5,,,0.0,0,1,1,0
Ethan Allen,Profile,1999.0,Foam,13.5,,,0.0,0,1,1,0
Ethan Allen,Stellar,1299.0,Hybrid,10.5,,,0.0,0,1,1,0
Eve,eve mattress,899.0,Foam,10.0,91.0,6.0,100.0,0,0,0,0
Floyd,Floyd Mattress,1095.0,Hybrid,10.0,98.0,6.5,30.0,0,0,0,0
Freya by Brooklyn Bedding,Freya,1999.0,Hybrid,13.5,90.0,5.0,120.0,0,0,0,0
GhostBed,GhostBed,895.0,Latex,11.0,89.0,6.0,101.0,0,0,0,0
GhostBed,GhostBed Flex,1285.0,Hybrid,13.0,122.0,6.0,101.0,0,0,0,0
GhostBed,GhostBed Luxe,1375.0,Foam,13.0,122.0,5.0,101.0,0,0,0,0
Hampton & Rhodes,Aruba,599.0,Hybrid,14.0,,3.5,100.0,0,0,1,0
Hampton & Rhodes,Cool Gel,499.0,Foam,8.0,,6.0,100.0,0,0,1,0
Hampton & Rhodes,HR100,110.0,Innerspring,6.5,,7.0,100.0,0,0,1,0
Hampton & Rhodes,HR200,210.0,Innerspring,7.5,,6.0,100.0,0,0,1,0
Hampton & Rhodes,HR300,360.0,Foam,9.0,,6.0,100.0,0,0,1,0
Hampton & Rhodes,HR320,410.0,Innerspring,10.0,,7.0,100.0,0,0,1,0
Hampton & Rhodes,HR340,360.0,Innerspring,10.5,,6.0,100.0,0,0,1,0
Hampton & Rhodes,HR400,460.0,Innerspring,11.5,,7.0,100.0,0,0,1,0
Hampton & Rhodes,HR440,610.0,Innerspring,12.5,,6.0,100.0,0,0,1,0
Hampton & Rhodes,HR500,510.0,Foam,10.75,,4.0,100.0,0,0,1,0
Hampton & Rhodes,San Martin,499.0,Hybrid,12.0,,4.0,100.0,0,0,1,0
Hampton & Rhodes,Trinidad,369.0,Hybrid,10.5,,6.0,100.0,0,0,1,0
Hampton & Rhodes,Two-Sided,329.0,Foam,10.0,,4.0,100.0,0,0,1,0
Helix Sleep,Helix Dawn Luxe,1599.0,Hybrid,14.0,120.0,7.0,100.0,0,0,0,0
Helix Sleep,Helix Dusk Luxe,1599.0,Hybrid,14.0,120.0,5.5,100.0,0,0,0,0
Helix Sleep,Helix Midnight Luxe,1599.0,Hybrid,14.0,120.0,5.5,100.0,0,0,0,0
Helix Sleep,Helix Moonlight Luxe,1599.0,Hybrid,14.0,120.0,4.0,100.0,0,0,0,0
Helix Sleep,Helix Sunset,899.0,Hybrid,12.0,95.0,3.5,100.0,0,0,0,0
Helix Sleep,Helix Sunset Luxe,1599.0,Hybrid,14.0,120.0,4.0,100.0,0,0,0,0
Helix Sleep,Helix Twilight Luxe,1599.0,Hybrid,14.0,120.0,7.0,100.0,0,0,0,0
Hyphen,Hyphen Mattress,799.0,Foam,10.0,73.0,6.0,100.0,0,0,0,0
Ikea,Hasvag,199.0,Innerspring,8.25,57.0,6.0,365.0,0,0,0,0
Ikea,Hjellestad,699.0,Hybrid,15.375,97.8125,5.5,365.0,0,0,0,0
Ikea,Holmsbu,899.0,Hybrid,17.75,134.0,7.0,365.0,0,0,0,0
Ikea,Matrand(Latex),399.0,Latex,7.125,84.0,6.0,365.0,0,0,0,0
Ikea,Matrand(Memory Foam),399.0,Foam,7.125,57.3125,6.0,365.0,0,0,0,0
Ikea,Meistervik,229.0,Foam,4.75,30.875,6.0,365.0,0,0,0,0
Ikea,Minnesund,179.0,Foam,3.85,24.0,6.0,365.0,0,0,0,0
Ikea,Morgongava,999.0,Latex,7.875,103.0,5.0,365.0,0,0,0,0
Ikea,Myrbacka(Latex),499.0,Latex,9.5,91.0,7.0,365.0,0,0,0,0
Ikea,Myrbacka(Memory Foam),499.0,Foam,9.5,68.0,6.0,365.0,0,0,0,0
Intellibed,Numea Azure,3799.0,Hybrid,12.0,,6.5,60.0,0,0,1,0
Intellibed,Numea Indigo,5499.0,Hybrid,15.0,,4.5,60.0,0,0,1,0
Intellibed,Numea Sapphire,4199.0,Hybrid,13.0,,5.5,60.0,0,0,1,0
Jazvin,,1050.0,Foam,11.0,83.0,,100.0,0,1,0,0
Joybed,Joybed LX,960.0,Hybrid,11.0,78.0,7.0,120.0,0,0,0,0
Joybed,Joybed LXC,1090.0,Hybrid,12.0,96.0,6.0,120.0,0,0,0,0
Joybed,Joybed LXP,1190.0,Hybrid,13.0,117.0,4.0,120.0,0,0,0,0
Keetsa,Cloud,940.0,Foam,10.0,90.0,6.5,90.0,0,0,0,0
